#{"t_start": 1764624546.179369, "env_id": "None"}
r,l,t
1381.0,225,32.7612
752.6,212,32.795465
727.4,260,32.837962
1121.3,265,33.199796
1364.0,277,33.24496
841.7,223,33.28184
893.8,260,33.324474
1444.5,267,33.368251
1297.9,205,33.401604
809.9,237,33.43991
890.4,264,33.482483
742.6,304,33.850245
873.0,345,33.906482
967.9,203,33.939311
1225.4,249,33.979927
1603.5,249,34.021121
657.3,280,34.067963
1411.4,208,34.10165
1392.2,205,34.13509
1301.1,298,34.501229
1109.9,294,34.549031
1129.3,302,34.598662
1293.9,215,34.633717
1138.1,214,34.668744
980.3,241,34.707789
742.0,273,34.751961
817.5,199,34.783981
964.7,329,35.154842
940.2,221,35.190661
970.3,250,35.231041
635.5,354,35.288728
1199.8,245,35.32914
1053.2,226,35.36644
1058.4,301,35.416309
1065.8,271,35.461067
960.5,281,35.825503
982.3,245,35.865669
1134.7,236,35.904087
1212.2,248,35.945516
1527.0,281,35.992451
1236.8,204,36.027555
1298.7,237,36.066809
1125.7,266,36.109887
815.1,255,36.469058
1123.1,260,36.511765
893.4,212,36.546472
863.4,332,36.601567
811.5,223,36.637709
1127.9,241,36.676723
1314.3,245,36.717187
915.4,252,36.759152
1658.5,248,37.116815
1122.3,252,37.157676
731.6,324,37.210482
1212.4,336,37.265235
992.9,227,37.30206
793.5,341,37.357584
1195.4,314,37.40858
990.3,216,37.76131
1121.1,294,37.809246
641.3,345,37.866618
967.1,293,37.91512
1297.7,203,37.948334
1549.6,234,37.986816
879.8,280,38.032834
1318.1,257,38.074423
1204.4,285,38.436288
1307.9,274,38.481382
1442.5,274,38.526614
1297.5,246,38.566648
895.8,242,38.606264
1348.8,331,38.660613
1000.1,227,38.698249
1050.0,249,38.739465
834.9,251,39.096922
1034.4,282,39.142751
1377.6,201,39.175636
1149.1,215,39.210797
1212.6,245,39.251172
1283.5,244,39.291081
1293.1,246,39.331406
970.7,249,39.37214
1539.6,186,39.718482
1395.8,220,39.754378
1313.9,266,39.797618
1193.8,307,39.848059
1389.6,253,39.889501
819.3,223,39.926056
1471.9,250,39.967035
1291.7,216,40.002458
1315.1,231,40.040317
1062.6,234,40.394348
897.0,287,40.441444
1199.6,291,40.489357
1213.3,242,40.528887
1094.4,250,40.570191
1205.6,271,40.613897
1694.0,243,40.652689
881.4,322,41.022376
1333.1,227,41.060366
1269.6,213,41.095546
983.1,254,41.137434
1212.0,276,41.18307
1861.6,279,41.22913
1283.7,314,41.281087
1115.5,327,41.335189
1574.6,207,41.685791
810.1,232,41.723466
894.0,290,41.771666
985.7,241,41.811949
974.3,261,41.855326
1293.9,328,41.91003
1293.3,256,41.952764
1216.4,242,41.992865
1040.6,276,42.354016
1389.6,280,42.399101
894.6,208,42.433053
652.1,232,42.47122
1130.5,253,42.512851
486.7,287,42.559605
555.6,254,42.600466
1212.0,253,42.641669
718.0,300,43.006446
1800.7,200,43.039085
1030.6,363,43.098654
1160.5,203,43.131265
1207.4,300,43.18068
1538.8,250,43.2222
1292.9,273,43.267424
986.7,259,43.310175
806.1,297,43.673954
741.8,263,43.716407
1290.1,267,43.760506
1055.4,244,43.800591
1131.5,275,43.845838
1396.2,243,43.885754
477.9,248,43.926625
729.4,236,43.965797
814.9,249,44.322899
1388.6,285,44.370536
1213.0,233,44.409399
1038.8,225,44.446703
733.6,236,44.485869
1230.8,228,44.52377
1192.2,299,44.573595
966.1,287,44.620378
1143.5,233,44.973972
1590.0,207,45.008364
973.1,255,45.050953
1130.7,279,45.096509
1457.3,219,45.13265
968.3,229,45.170591
1150.3,250,45.211845
1056.0,234,45.250153
1378.2,195,45.597972
641.7,284,45.644112
1130.3,270,45.688468
830.1,260,45.731293
1126.3,290,45.779181
1123.3,370,45.839861
1404.4,198,45.872134
1147.9,240,45.911353
1691.2,234,46.270883
1438.7,312,46.322331
1402.0,233,46.360675
1354.4,298,46.410017
1259.6,258,46.452631
1313.5,267,46.496372
1195.2,309,46.547351
1142.7,297,46.912614
1227.6,289,46.960518
1131.5,299,47.0105
1059.4,228,47.048475
974.7,272,47.093621
901.8,259,47.136371
1296.5,248,47.177106
1542.6,215,47.212433
1044.6,291,47.576426
415.4,345,47.633166
1148.1,267,47.677002
977.1,253,47.718402
1222.6,214,47.753556
1119.4,210,47.788018
890.0,247,47.828251
1604.9,297,47.876662
989.9,324,48.245398
1442.1,324,48.29895
897.6,337,48.355094
986.3,290,48.403432
1475.5,239,48.443169
1071.4,234,48.481979
1808.7,239,48.521687
923.2,232,48.876761
811.5,240,48.916613
945.3,350,48.975501
1048.0,258,49.018746
1616.9,243,49.059429
576.6,350,49.118284
1191.8,329,49.173499
1469.3,295,49.538137
787.5,382,49.600523
1076.4,267,49.644325
1701.0,283,49.690826
1007.9,214,49.725946
967.3,323,49.779254
1687.8,346,49.835975
1299.3,302,50.201419
1145.7,288,50.248423
1789.1,266,50.292734
964.3,288,50.340875
917.2,254,50.383221
951.1,315,50.435971
1162.9,238,50.475465
1069.4,286,50.839779
1519.4,323,50.89396
1294.1,258,50.937389
1444.5,282,50.984717
798.9,327,51.040209
1306.3,227,51.078014
1135.1,239,51.117601
739.0,337,51.173501
1124.1,312,51.541403
1441.1,299,51.590417
980.9,336,51.646423
894.8,240,51.686119
1842.3,208,51.719777
968.7,324,51.77336
1632.9,243,51.813249
594.6,283,52.174742
876.6,356,52.232963
1131.1,275,52.277584
1854.9,211,52.311863
1251.6,321,52.364008
1704.2,245,52.403543
1136.9,332,52.457245
1153.5,229,52.847828
